s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
2.236028629087607555e+01,8.833801643053518227e-01,-1.535461895803786980e+01,-4.883063207168958364e-02,-2.565402088536115899e-02,8.150126448567283077e+00,3.967956661878941471e+00
2.255993170418746629e+01,8.936235720425111939e-01,-1.515539351291308456e+01,-5.389315024370899820e-02,-2.511055076679766240e-02,8.246752683521011207e+00,3.936184562369755557e+00
2.275957711749886059e+01,9.048919500219504419e-01,-1.495577853228583365e+01,-5.888057699048276916e-02,-2.485133379590187541e-02,8.341499398238271468e+00,3.904666867430304666e+00
2.295922253081025488e+01,9.171174572316134199e-01,-1.475676617681493674e+01,-6.382322371689963525e-02,-2.473734104188522048e-02,8.434435954584770911e+00,3.873401540000154242e+00
2.315886794412164917e+01,9.303697934047936435e-01,-1.455717416656074548e+01,-6.878350376325270688e-02,-2.492152229331461716e-02,8.525627459298286581e+00,-8.039521230505380700e+00
2.335851335743303991e+01,9.445588709534330496e-01,-1.435843977979930308e+01,-7.377963771030038309e-02,-2.524229066026145024e-02,8.335239438490114949e+00,-1.163940861972130847e+01
2.355815877074443421e+01,9.598173561216688521e-01,-1.415885336388569726e+01,-7.881161818806869945e-02,-2.492950775770571073e-02,8.051627624759614577e+00,-1.168380033107365001e+01
2.375780418405582850e+01,9.759761982119125046e-01,-1.396048306376530057e+01,-8.373171904505571916e-02,-2.451666213606818606e-02,7.756511658954825528e+00,-1.173103696467733670e+01
2.395744959736722279e+01,9.932003123261449185e-01,-1.376085697289766152e+01,-8.826216807951237087e-02,-2.042840316583777183e-02,7.448448004029674330e+00,-1.197916489921945349e+01
2.415709501067861709e+01,1.011108186885623983e+00,-1.356274074721857303e+01,-9.187945973418543133e-02,-1.593563297008752586e-02,7.120126895910887654e+00,-1.220903914356155973e+01
2.435674042399000783e+01,1.029789046374295136e+00,-1.336318329456213760e+01,-9.466036113591047574e-02,-1.177329006478660019e-02,6.769139508236695413e+00,-1.238032617482998354e+01
2.455638583730140212e+01,1.048817533552830694e+00,-1.316492227375646173e+01,-9.649839860738573805e-02,-3.959238511476354666e-03,6.393582642756986623e+00,-1.209917465933924774e+01
2.475603125061279641e+01,1.068039469987011714e+00,-1.296572373265196809e+01,-9.518968388309390072e-02,1.730220167456377259e-02,6.003899529354430165e+00,-1.059900589235244617e+01
2.495567666392419071e+01,1.086499099248265487e+00,-1.276689796361162088e+01,-8.849066472910260828e-02,6.408950527059600888e-02,5.640454213487166690e+00,-8.251713771464263658e+00
2.515532207723558145e+01,1.102305025430516894e+00,-1.256793603623175493e+01,-6.715549551891575319e-02,1.514805681355660960e-01,5.340401681669883160e+00,-6.302950022651905293e+00
2.535496749054697574e+01,1.112105978949394114e+00,-1.236777123429387615e+01,-2.781401987705622858e-02,2.391439863285075018e-01,5.099331328407260777e+00,-4.367837780165765516e+00
2.555461290385837003e+01,1.112324427673639482e+00,-1.216963613634409391e+01,2.876246570378082623e-02,3.346632045773316189e-01,4.925357087468798412e+00,-3.104390414705605394e+00
2.575425831716976433e+01,1.099285586460948982e+00,-1.196883472715373031e+01,1.032838066979504532e-01,4.064900035234549902e-01,4.797873260542785623e+00,-1.890328908221671433e+00
2.595390373048115862e+01,1.070280645611014325e+00,-1.177200225857207805e+01,1.916729926911751036e-01,4.741187507333667339e-01,4.718558766390292369e+00,-1.006211260923383310e+00
2.615354914379254936e+01,1.022843076505484783e+00,-1.157854891635632555e+01,2.908871759625746289e-01,5.229019282256148760e-01,4.675791473723718283e+00,-6.008036080012527647e-01
2.635319455710394365e+01,9.552174688275372194e-01,-1.139003452177188258e+01,3.986590054128404947e-01,5.472295188669068500e-01,4.650067799126229140e+00,-4.301744483701011590e-01
2.655283997041533794e+01,8.679481547056346891e-01,-1.121111557486122479e+01,5.094501588260618163e-01,5.594049394186965118e-01,4.631561920711948055e+00,-4.301744483701100408e-01
2.675248538372673224e+01,7.613926511932704866e-01,-1.104302576302190353e+01,6.204659390452009760e-01,5.577279662915113345e-01,4.612981802945601117e+00,-2.949586218469621435e-01
2.695213079703812298e+01,6.357111604803514782e-01,-1.088637998541622487e+01,7.313788778372556365e-01,5.459997998387238205e-01,4.600198565537193751e+00,2.127859450233878999e-02
2.715177621034951727e+01,4.940873314171831399e-01,-1.074490857809317212e+01,8.402471979158141480e-01,5.387925460948531642e-01,4.601121949042283887e+00,1.690491001877025279e-01
2.735142162366091156e+01,3.387831175313115173e-01,-1.062011455996510634e+01,9.476358263338946486e-01,5.392181508103282006e-01,4.608451252309440527e+00,1.222882130519602761e-01
2.755106703697230586e+01,1.714802351807048209e-01,-1.051298665856368508e+01,1.055088376174045273e+00,5.447686120158284906e-01,4.613745929999634399e+00,-2.317094945044836582e-02
2.775071245028370015e+01,-7.048687662679396261e-03,-1.042420306964486265e+01,1.163230546605298787e+00,5.375769083708334950e-01,4.612743170720486674e+00,1.350755068525246738e-01
2.795035786359509089e+01,-1.946147823762284235e-01,-1.035469522955976096e+01,1.266501550937869869e+00,4.871733275551163866e-01,4.618585710995967375e+00,1.180175656292345332e+00
2.815000327690648518e+01,-3.861252809916643769e-01,-1.030383519136226234e+01,1.351121452559789216e+00,3.482125271173396874e-01,4.669321929699983720e+00,-4.648819379626656811e+00
2.834964869021787948e+01,-5.810705098667785506e-01,-1.026665137405358230e+01,1.416374713319650258e+00,3.860581107273777235e-01,4.466132146529703029e+00,-3.968160032150704897e-01
2.854929410352927377e+01,-7.805270157309873724e-01,-1.024519396734240750e+01,1.519262196290596556e+00,6.064314676833174600e-01,4.448358276974227365e+00,-8.836119661163055028e+00
