# e7_fifth_v3 raceline (centerline path; velocity copied from e7_fifth_v3_centerline_with_vel.csv)
# generated for mppi_example / mppi_bringup
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
36.302404;26.250000;0.270000;0.000000;0.000000;2.947959;4.025372;0.800000;0.800000
36.502404;26.450000;0.270000;0.000000;0.000000;3.277309;5.130611;0.788200;0.788200
36.702404;26.650000;0.270000;0.000000;0.000000;3.574157;5.081960;0.751600;0.751600
36.902404;26.850000;0.270000;0.000000;0.000000;3.846054;5.036667;0.750000;0.750000
37.102404;27.050000;0.270000;0.000000;0.000000;4.097984;4.993332;0.763900;0.763900
37.302404;27.250000;0.270000;0.000000;0.000000;4.333448;4.951268;0.800000;0.800000
37.502404;27.450000;0.270000;0.000000;0.000000;4.555012;4.910109;0.800000;0.800000
37.702404;27.650000;0.270000;0.000000;0.000000;4.764631;-1.424565;0.800000;0.800000
37.902404;27.850000;0.270000;0.000000;0.000000;4.435417;-10.239859;0.800000;0.800000
38.102404;28.050000;0.270000;0.000000;0.000000;3.841168;-12.415702;0.800000;0.800000
38.302404;28.250000;0.270000;0.000000;0.000000;3.142508;-5.587293;0.800000;0.800000
38.502404;28.450000;0.270000;-0.244979;-1.224893;3.129979;-0.193484;0.800000;0.800000
38.708559;28.650000;0.220000;0.000000;1.188321;3.117401;0.033442;0.750000;0.750000
38.908559;28.850000;0.220000;0.000000;0.000000;3.134336;2.563871;0.750000;0.750000
39.108559;29.050000;0.220000;0.000000;0.000000;3.444599;5.103216;0.750000;0.750000
39.308559;29.250000;0.220000;0.000000;0.000000;3.726941;5.056658;0.750000;0.750000
39.508559;29.450000;0.220000;0.000000;0.000000;3.987313;5.012561;0.750000;0.750000
39.708559;29.650000;0.220000;0.000000;0.000000;4.229792;4.969995;0.750000;0.750000
39.908559;29.850000;0.220000;0.000000;0.000000;4.457312;4.928450;0.756200;0.756200
40.108559;30.050000;0.220000;0.000000;0.000000;4.672072;4.887711;0.800000;0.800000
40.308559;30.250000;0.220000;0.000000;0.000000;4.875774;4.847604;0.800000;0.800000
40.508559;30.450000;0.220000;0.000000;0.000000;5.069761;4.808009;0.800000;0.800000
40.708559;30.650000;0.220000;0.000000;0.000000;5.255122;-1.403459;0.800000;0.800000
40.908559;30.850000;0.220000;0.000000;0.000000;4.962935;-10.170357;0.800000;0.800000
41.108559;31.050000;0.220000;0.000000;0.000000;4.435417;-12.438761;0.800000;0.800000
41.308559;31.250000;0.220000;0.000000;0.000000;3.841168;-12.415702;0.800000;0.800000
41.508559;31.450000;0.220000;0.000000;0.000000;3.142508;-5.587293;0.800000;0.800000
41.708559;31.650000;0.220000;-0.244979;-1.224893;3.129979;-0.193484;0.800000;0.800000
41.914715;31.850000;0.170000;0.000000;1.188321;3.117401;0.000000;0.800000;0.800000
42.114715;32.050000;0.170000;-0.244979;-1.224893;3.129979;0.000000;0.800000;0.800000
42.320870;32.250000;0.120000;0.000000;1.188321;3.117401;0.033442;0.750000;0.750000
42.520870;32.450000;0.120000;0.000000;0.000000;3.134336;2.563871;0.750000;0.750000
42.720870;32.650000;0.120000;0.000000;0.000000;3.444599;5.103216;0.750000;0.750000
42.920870;32.850000;0.120000;0.000000;0.000000;3.726941;5.056658;0.750000;0.750000
43.120870;33.050000;0.120000;0.000000;0.000000;3.987313;5.012561;0.750000;0.750000
43.320870;33.250000;0.120000;0.000000;0.000000;4.229792;4.969995;0.750000;0.750000
43.520870;33.450000;0.120000;0.000000;0.000000;4.457312;-1.174413;0.750000;0.750000
43.720870;33.650000;0.120000;0.000000;0.000000;4.124400;-10.072455;0.750000;0.750000
43.920870;33.850000;0.120000;0.000000;0.000000;3.480447;-12.449837;0.750000;0.750000
44.120870;34.050000;0.120000;0.000000;0.000000;2.693568;-8.777207;0.774600;0.774600
44.320870;34.250000;0.120000;0.244979;1.224893;2.177015;-4.939399;0.800000;0.800000
44.527025;34.450000;0.170000;0.463648;1.060700;1.772048;-1.702355;0.850000;0.850000
44.750632;34.650000;0.270000;1.325818;3.855742;1.764155;-0.064949;0.950000;0.950000
44.956787;34.700000;0.470000;1.325818;0.000000;1.756226;2.239797;1.068000;1.068000
45.162943;34.750000;0.670000;1.570796;1.188321;2.289994;5.421072;1.042000;1.042000
45.362943;34.750000;0.870000;1.325818;-1.224893;2.717712;4.194369;1.004800;1.004800
45.569098;34.800000;1.070000;1.570796;1.188321;2.916832;2.285197;1.050000;1.050000
45.769098;34.800000;1.270000;1.325818;-1.224893;3.035915;1.147473;1.050000;1.050000
45.975253;34.850000;1.470000;1.325818;0.000000;3.070345;1.056416;1.100000;1.100000
46.181409;34.900000;1.670000;1.570796;1.188321;3.177779;0.737573;1.150000;1.150000
46.381409;34.900000;1.870000;1.570796;0.000000;3.164615;2.327361;1.150000;1.150000
46.581409;34.900000;2.070000;1.570796;0.000000;3.471952;5.098726;1.150000;1.150000
46.781409;34.900000;2.270000;1.570796;0.000000;3.752034;5.052480;1.150000;1.150000
46.981409;34.900000;2.470000;1.570796;0.000000;4.010591;0.893700;1.150000;1.150000
47.181409;34.900000;2.670000;1.570796;0.000000;3.841168;-8.336132;1.150000;1.150000
47.381409;34.900000;2.870000;1.570796;0.000000;3.142508;-5.587293;1.138500;1.138500
47.581409;34.900000;3.070000;1.325818;-1.224893;3.129979;-0.193484;1.104300;1.104300
