s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
40.308559,30.250000,0.220000,0.000000,0.000000,4.875774,4.823265,0.800000,0.800000
40.508559,30.450000,0.220000,0.000000,0.000000,5.069761,4.784576,0.800000,0.800000
40.708559,30.650000,0.220000,0.000000,0.000000,5.255122,-7.463948,0.800000,0.800000
40.908559,30.850000,0.220000,0.000000,0.000000,4.962935,-12.394510,0.800000,0.800000
41.108559,31.050000,0.220000,0.000000,0.000000,4.435417,-12.295880,0.800000,0.800000
41.308559,31.250000,0.220000,0.000000,0.000000,3.841168,-12.198035,0.800000,0.800000
41.508559,31.450000,0.220000,0.000000,0.000000,3.142508,-0.196459,0.800000,0.800000
41.708559,31.650000,0.220000,-0.244979,-1.224893,3.129979,-0.196459,0.800000,0.800000
41.914715,31.850000,0.170000,0.000000,1.188321,3.117401,0.190594,0.800000,0.800000
42.114715,32.050000,0.170000,-0.244979,-1.224893,3.129979,-0.196459,0.800000,0.800000
42.320870,32.250000,0.120000,0.000000,1.188321,3.117401,0.256789,0.750000,0.750000
42.520870,32.450000,0.120000,0.000000,0.000000,3.134336,5.102993,0.750000,0.750000
42.720870,32.650000,0.120000,0.000000,0.000000,3.444599,5.062060,0.750000,0.750000
42.920870,32.850000,0.120000,0.000000,0.000000,3.726941,5.021455,0.750000,0.750000
43.120870,33.050000,0.120000,0.000000,0.000000,3.987313,4.981176,0.750000,0.750000
43.320870,33.250000,0.120000,0.000000,0.000000,4.229792,4.941220,0.750000,0.750000
43.520870,33.450000,0.120000,0.000000,0.000000,4.457312,-7.142379,0.750000,0.750000
43.720870,33.650000,0.120000,0.000000,0.000000,4.124400,-12.242918,0.750000,0.750000
43.920870,33.850000,0.120000,0.000000,0.000000,3.480447,-12.145494,0.750000,0.750000
44.120870,34.050000,0.120000,0.000000,0.000000,2.693568,-6.289787,0.774600,0.774600
44.320870,34.250000,0.120000,0.244979,1.224893,2.177015,-3.998108,0.800000,0.800000
44.527025,34.450000,0.170000,0.463648,1.060700,1.772048,-0.067695,0.850000,0.850000
44.750632,34.650000,0.270000,1.325818,3.855742,1.764155,-0.062411,0.950000,0.950000
44.956787,34.700000,0.470000,1.325818,0.000000,1.756226,5.238148,1.068000,1.068000
45.162943,34.750000,0.670000,1.570796,1.188321,2.289994,5.194838,1.042000,1.042000
45.362943,34.750000,0.870000,1.325818,-1.224893,2.717712,2.804871,1.004800,1.004800
45.569098,34.800000,1.070000,1.570796,1.188321,2.916832,1.719259,1.050000,1.050000
45.769098,34.800000,1.270000,1.325818,-1.224893,3.035915,0.525602,1.050000,1.050000
45.975253,34.850000,1.470000,1.325818,0.000000,3.070345,1.628050,1.100000,1.100000
46.181409,34.900000,1.670000,1.570796,1.188321,3.177779,-0.202506,1.150000,1.150000
46.381409,34.900000,1.870000,1.570796,0.000000,3.164615,5.099169,1.150000,1.150000
46.581409,34.900000,2.070000,1.570796,0.000000,3.471952,5.058266,1.150000,1.150000
46.781409,34.900000,2.270000,1.570796,0.000000,3.752034,5.017692,1.150000,1.150000
46.981409,34.900000,2.470000,1.570796,0.000000,4.010591,-3.325668,1.150000,1.150000
47.181409,34.900000,2.670000,1.570796,0.000000,3.841168,-12.198035,1.150000,1.150000
47.381409,34.900000,2.870000,1.570796,0.000000,3.142508,-0.196459,1.138500,1.138500
47.581409,34.900000,3.070000,1.325818,-1.224893,3.129979,-0.196459,1.104300,1.104300
47.787564,34.950000,3.270000,1.570796,1.188321,3.117401,0.256789,1.150000,1.150000
47.987564,34.950000,3.470000,1.570796,0.000000,3.134336,5.102993,1.150000,1.150000
48.187564,34.950000,3.670000,1.570796,0.000000,3.444599,5.062060,1.150000,1.150000
