x_m,y_m,v_mps,dr_m,dl_m
6.0894194,6.6458367,5.5862291,0.6856257384846252,1.1659742615153748
5.9419145,6.6182995,5.5212063,0.7097655325883984,1.0902344674116016
5.7944787,6.589314,5.4561836,0.7595540889825599,1.0404459110174402
5.6472052,6.5588555,5.3911609,0.8091606303874429,0.9908393696125571
5.5001873,6.5268995,5.3261381,0.8505132653609183,0.9342867346390816
5.3535181,6.4934213,5.2611154,0.8731342288390247,0.8602657711609754
5.2066311,6.4582352,5.1933872,0.8695671708834669,0.7612328291165331
5.0599738,6.4213942,5.1243468,0.9025265168439074,0.7008734831560925
4.9139752,6.3829675,5.0553064,0.9466300067619107,0.6533699932380894
4.7687427,6.342949,4.986266,0.9910471903566974,0.6089528096433027
4.6243835,6.3013327,4.9172256,1.0335318696231661,0.566468130376834
4.4810052,6.2581128,4.8481852,1.0739498868786788,0.5260501131213213
4.3387151,6.2132832,4.7791448,1.1109852867326606,0.48901471326733953
4.1976206,6.166838,4.7101044,1.1441959905627408,0.4558040094372593
4.0573507,6.1186031,4.6403693,1.185862623333561,0.442737376666439
3.9128178,6.0666464,4.5623029,1.2715123229667133,0.48528767703328657
3.7699154,6.0129221,4.4842365,1.368303495198266,0.5540965048017341
3.6287362,5.9574378,4.4061701,1.350254263947257,0.5225457360527429
3.4893732,5.9002011,4.3281036,1.3588636950582573,0.5311363049417426
3.3519194,5.8412195,4.2500372,1.3659980045905427,0.5482019954094572
3.2164676,5.7805007,4.1719708,1.3562115496064238,0.5557884503935762
3.0831108,5.7180523,4.0939043,1.397150944350367,0.6204490556496329
2.9519418,5.6538819,4.0158379,1.474050489334629,0.7261495106653713
2.8160333,5.584323,3.927491,1.5644861922830156,0.8505138077169845
2.6814463,5.5121314,3.8373062,1.5472451146761461,0.8707548853238541
2.5494533,5.4378835,3.7471213,1.5624434097179787,0.9255565902820213
2.4200503,5.3615177,3.6569365,1.5893930475506646,0.9930069524493352
2.2932331,5.2829723,3.5667517,1.6206011887366323,1.0651988112633677
2.1689978,5.2021856,3.4765668,1.6209394279133176,1.1060605720866823
2.0473403,5.1190959,3.386382,1.5933615731727127,1.1184384268272876
1.9277186,5.0332455,3.2940705,1.590094044775809,1.1539059552241913
1.8069353,4.941877,3.1861464,1.592301444457144,1.194098555542856
1.6894331,4.8474479,3.0782223,1.6004934047477026,1.2367065952522975
1.5756683,4.7495534,2.9702982,1.5863915399525423,1.2520084600474577
1.4660976,4.6477882,2.8623741,1.56686063972134,1.25593936027866
1.3611774,4.5417475,2.7544499,1.593436383991591,1.300363616008409
1.2613643,4.4310261,2.6465258,1.5774086829465188,1.299591317053481
