# x_m,y_m,width_right,width_left
-2.1667,-13.8335,0.5458,0.5458
-2.1634,-13.8433,0.5458,0.5459
-2.1601,-13.8531,0.5459,0.5459
-2.1567,-13.8629,0.5459,0.5460
-2.1533,-13.8726,0.5460,0.5461
-2.1500,-13.8824,0.5461,0.5462
-2.1465,-13.8921,0.5462,0.5463
-2.1431,-13.9018,0.5463,0.5464
-2.1396,-13.9116,0.5464,0.5466
-2.1361,-13.9213,0.5465,0.5467
-2.1326,-13.9310,0.5466,0.5468
-2.1290,-13.9407,0.5467,0.5469
-2.1254,-13.9503,0.5469,0.5470
-2.1217,-13.9600,0.5469,0.5470
-2.1180,-13.9696,0.5470,0.5470
-2.1143,-13.9792,0.5471,0.5470
-2.1105,-13.9889,0.5470,0.5470
-2.1067,-13.9984,0.5469,0.5469
-2.1028,-14.0080,0.5467,0.5468
-2.0988,-14.0176,0.5463,0.5467
-2.0949,-14.0271,0.5458,0.5465
-2.0909,-14.0366,0.5452,0.5462
-2.0868,-14.0461,0.5445,0.5460
-2.0827,-14.0556,0.5437,0.5457
-2.0786,-14.0650,0.5428,0.5453
-2.0744,-14.0745,0.5420,0.5449
-2.0702,-14.0839,0.5411,0.5444
-2.0659,-14.0933,0.5402,0.5440
-2.0616,-14.1027,0.5394,0.5434
-2.0573,-14.1120,0.5385,0.5429
-2.0529,-14.1214,0.5377,0.5423
-2.0485,-14.1307,0.5370,0.5416
-2.0441,-14.1401,0.5364,0.5410
-2.0396,-14.1494,0.5357,0.5403
-2.0352,-14.1587,0.5351,0.5396
-2.0307,-14.1680,0.5346,0.5389
-2.0263,-14.1773,0.5341,0.5382
-2.0218,-14.1866,0.5337,0.5375
-2.0174,-14.1960,0.5333,0.5368
-2.0129,-14.2053,0.5329,0.5362
-2.0085,-14.2146,0.5327,0.5355
-2.0041,-14.2240,0.5323,0.5349
-1.9998,-14.2333,0.5321,0.5344
-1.9955,-14.2427,0.5319,0.5338
-1.9912,-14.2521,0.5317,0.5333
-1.9869,-14.2615,0.5315,0.5329
-1.9827,-14.2709,0.5313,0.5324
-1.9786,-14.2804,0.5312,0.5321
-1.9744,-14.2899,0.5310,0.5317
-1.9704,-14.2993,0.5309,0.5315
-1.9663,-14.3088,0.5309,0.5312
-1.9623,-14.3184,0.5308,0.5310
-1.9584,-14.3279,0.5308,0.5309
-1.9544,-14.3374,0.5307,0.5308
-1.9505,-14.3470,0.5307,0.5307
-1.9467,-14.3566,0.5307,0.5307
-1.9429,-14.3662,0.5307,0.5307
-1.9391,-14.3758,0.5307,0.5307
-1.9354,-14.3854,0.5308,0.5308
-1.9316,-14.3950,0.5308,0.5309
-1.9279,-14.4047,0.5309,0.5310
-1.9243,-14.4143,0.5310,0.5312
-1.9206,-14.4240,0.5311,0.5314
-1.9170,-14.4337,0.5312,0.5316
-1.9134,-14.4433,0.5314,0.5318
-1.9098,-14.4530,0.5315,0.5320
-1.9062,-14.4627,0.5317,0.5322
-1.9026,-14.4724,0.5319,0.5324
-1.8991,-14.4821,0.5321,0.5327
-1.8955,-14.4918,0.5323,0.5329
-1.8919,-14.5014,0.5325,0.5331
-1.8884,-14.5111,0.5328,0.5334
-1.8848,-14.5208,0.5330,0.5336
-1.8813,-14.5305,0.5332,0.5338
-1.8778,-14.5402,0.5335,0.5340
-1.8742,-14.5499,0.5337,0.5342
-1.8707,-14.5596,0.5340,0.5344
-1.8672,-14.5694,0.5342,0.5347
-1.8637,-14.5791,0.5344,0.5349
-1.8602,-14.5888,0.5347,0.5351
-1.8567,-14.5985,0.5349,0.5353
-1.8532,-14.6082,0.5352,0.5355
-1.8497,-14.6179,0.5354,0.5356
-1.8462,-14.6276,0.5356,0.5358
-1.8428,-14.6374,0.5358,0.5360
-1.8393,-14.6471,0.5360,0.5362
-1.8359,-14.6568,0.5362,0.5364
-1.8324,-14.6666,0.5364,0.5365
-1.8290,-14.6763,0.5366,0.5367
-1.8255,-14.6860,0.5367,0.5369
-1.8221,-14.6958,0.5369,0.5370
-1.8187,-14.7055,0.5370,0.5372
-1.8153,-14.7153,0.5372,0.5374
-1.8119,-14.7250,0.5373,0.5375
-1.8085,-14.7348,0.5375,0.5377
-1.8051,-14.7445,0.5376,0.5379
-1.8017,-14.7543,0.5377,0.5380
-1.7983,-14.7640,0.5379,0.5382
-1.7949,-14.7738,0.5380,0.5385
-1.7915,-14.7835,0.5382,0.5387
-1.7881,-14.7932,0.5384,0.5390
-1.7846,-14.8030,0.5385,0.5393
-1.7811,-14.8127,0.5387,0.5397
-1.7776,-14.8224,0.5390,0.5402
-1.7741,-14.8321,0.5393,0.5406
-1.7705,-14.8418,0.5396,0.5412
-1.7669,-14.8515,0.5399,0.5417
-1.7633,-14.8611,0.5403,0.5424
-1.7596,-14.8708,0.5408,0.5430
-1.7558,-14.8804,0.5412,0.5436
-1.7520,-14.8900,0.5417,0.5443
-1.7482,-14.8996,0.5423,0.5450
-1.7443,-14.9091,0.5428,0.5457
-1.7404,-14.9187,0.5434,0.5464
-1.7365,-14.9282,0.5441,0.5470
-1.7325,-14.9378,0.5447,0.5477
-1.7285,-14.9473,0.5454,0.5483
-1.7244,-14.9568,0.5460,0.5489
-1.7203,-14.9663,0.5467,0.5495
-1.7162,-14.9757,0.5473,0.5501
-1.7121,-14.9852,0.5480,0.5506
-1.7080,-14.9947,0.5486,0.5511
-1.7038,-15.0041,0.5492,0.5516
-1.6996,-15.0135,0.5498,0.5521
-1.6954,-15.0230,0.5504,0.5526
-1.6912,-15.0324,0.5510,0.5531
-1.6870,-15.0418,0.5515,0.5535
-1.6828,-15.0513,0.5520,0.5540
-1.6786,-15.0607,0.5524,0.5544
-1.6744,-15.0701,0.5529,0.5549
-1.6702,-15.0796,0.5533,0.5553
-1.6660,-15.0890,0.5537,0.5558
-1.6618,-15.0984,0.5542,0.5563
-1.6577,-15.1079,0.5546,0.5567
-1.6535,-15.1173,0.5550,0.5572
-1.6493,-15.1268,0.5554,0.5577
-1.6452,-15.1362,0.5558,0.5583
-1.6411,-15.1457,0.5562,0.5588
-1.6370,-15.1552,0.5566,0.5593
