# x_m,y_m,w_tr_right_m,w_tr_left_m
0.6800,1.2400,0.6000,0.6000
0.6800,1.1900,0.6000,0.6000
0.6800,1.1400,0.6000,0.6000
0.6800,1.0900,0.6000,0.6000
0.6800,1.0400,0.6000,0.6000
0.6800,0.9900,0.6000,0.6000
0.6800,0.9400,0.6000,0.6000
0.6800,0.8900,0.6000,0.6000
0.6800,0.8400,0.6000,0.6000
0.6800,0.7900,0.6000,0.6000
0.6800,0.7400,0.6000,0.6000
0.6800,0.6900,0.6000,0.6000
0.6800,0.6400,0.6000,0.6000
0.6800,0.5900,0.6000,0.6000
0.6800,0.5400,0.6000,0.6000
0.6800,0.4900,0.6000,0.6000
0.6800,0.4400,0.6000,0.6000
0.6800,0.3900,0.6000,0.6000
0.6800,0.3400,0.6000,0.6000
0.6800,0.2900,0.6000,0.6000
0.6800,0.2400,0.6000,0.6000
0.6800,0.1900,0.6000,0.6000
0.6800,0.1400,0.6000,0.6000
0.6800,0.0900,0.6000,0.6000
0.6800,0.0400,0.6000,0.6000
0.6800,-0.0100,0.6000,0.6000
0.6800,-0.0600,0.6000,0.6000
0.6800,-0.1100,0.6000,0.6000
0.6800,-0.1600,0.6000,0.6000
0.6800,-0.2100,0.6000,0.6000
0.6800,-0.2600,0.6000,0.6000
0.6800,-0.3100,0.6000,0.6000
0.6800,-0.3600,0.6000,0.6000
0.6800,-0.4100,0.6000,0.6000
0.6800,-0.4600,0.6000,0.6000
0.6800,-0.5100,0.6000,0.6000
0.6800,-0.5600,0.6000,0.6000
0.6800,-0.6100,0.6000,0.6000
0.6800,-0.6600,0.6000,0.6000
0.6800,-0.7100,0.6000,0.6000
0.6800,-0.7600,0.6000,0.6000
0.6800,-0.8100,0.6021,0.6021
0.6800,-0.8600,0.6083,0.6083
0.6800,-0.9100,0.6185,0.6185
0.6800,-0.9600,0.6325,0.6325
0.6800,-1.0100,0.6500,0.6500
0.6800,-1.0600,0.6325,0.6325
0.6800,-1.1100,0.6185,0.6185
0.6800,-1.1600,0.6083,0.6083
0.6800,-1.2100,0.6021,0.6021
0.6300,-1.2600,0.6500,0.6500
0.6300,-1.3100,0.6500,0.6500
0.6300,-1.3600,0.6500,0.6500
0.6300,-1.4100,0.6500,0.6500
0.6300,-1.4600,0.6500,0.6500
0.6300,-1.5100,0.6500,0.6500
