# x_m,y_m,width_inner,width_outer
-27.5828,-93.3880,1.0468,1.0467
-27.6766,-93.4525,1.0471,1.0471
-27.7699,-93.5176,1.0474,1.0474
-27.8628,-93.5833,1.0477,1.0477
-27.9554,-93.6496,1.0481,1.0481
-28.0475,-93.7164,1.0484,1.0484
-28.1393,-93.7837,1.0487,1.0487
-28.2307,-93.8515,1.0489,1.0490
-28.3218,-93.9198,1.0492,1.0492
-28.4125,-93.9886,1.0494,1.0495
-28.5028,-94.0578,1.0495,1.0497
-28.5928,-94.1275,1.0497,1.0499
-28.6824,-94.1978,1.0499,1.0501
-28.7715,-94.2685,1.0500,1.0503
-28.8603,-94.3397,1.0502,1.0505
-28.9486,-94.4115,1.0504,1.0507
-29.0365,-94.4839,1.0506,1.0509
-29.1238,-94.5568,1.0509,1.0511
-29.2107,-94.6304,1.0510,1.0508
-29.2970,-94.7046,1.0507,1.0505
-29.3827,-94.7795,1.0505,1.0503
-29.4678,-94.8551,1.0502,1.0501
-29.5522,-94.9315,1.0500,1.0499
-29.6359,-95.0085,1.0498,1.0497
-29.7189,-95.0864,1.0496,1.0496
-29.8012,-95.1650,1.0495,1.0495
-29.8827,-95.2445,1.0495,1.0495
-29.9634,-95.3247,1.0495,1.0495
-30.0433,-95.4058,1.0497,1.0495
-30.1224,-95.4877,1.0498,1.0497
-30.2006,-95.5704,1.0500,1.0499
-30.2780,-95.6539,1.0502,1.0502
-30.3545,-95.7381,1.0505,1.0505
-30.4303,-95.8230,1.0503,1.0501
-30.5053,-95.9086,1.0499,1.0497
-30.5796,-95.9948,1.0495,1.0494
-30.6532,-96.0817,1.0492,1.0492
-30.7262,-96.1690,1.0490,1.0490
-30.7986,-96.2568,1.0488,1.0488
-30.8705,-96.3450,1.0487,1.0487
-30.9420,-96.4336,1.0486,1.0485
-31.0132,-96.5224,1.0484,1.0484
-31.0841,-96.6114,1.0482,1.0482
-31.1549,-96.7005,1.0480,1.0479
-31.2257,-96.7897,1.0477,1.0477
-31.2965,-96.8788,1.0474,1.0473
-31.3674,-96.9678,1.0470,1.0469
-31.4386,-97.0566,1.0466,1.0464
-31.5101,-97.1452,1.0462,1.0459
-31.5819,-97.2334,1.0457,1.0454
-31.6543,-97.3213,1.0445,1.0449
-31.7272,-97.4087,1.0430,1.0444
-31.8008,-97.4955,1.0416,1.0431
-31.8752,-97.5817,1.0403,1.0414
-31.9502,-97.6672,1.0390,1.0397
-32.0262,-97.7520,1.0377,1.0381
-32.1029,-97.8361,1.0365,1.0366
-32.1806,-97.9192,1.0355,1.0352
-32.2593,-98.0015,1.0347,1.0341
-32.3389,-98.0829,1.0329,1.0333
-32.4195,-98.1632,1.0310,1.0329
-32.5014,-98.2423,1.0298,1.0309
-32.5843,-98.3202,1.0284,1.0289
-32.6683,-98.3970,1.0273,1.0273
-32.7534,-98.4726,1.0267,1.0262
-32.8396,-98.5469,1.0264,1.0257
-32.9269,-98.6200,1.0248,1.0258
-33.0155,-98.6914,1.0239,1.0251
-33.1053,-98.7614,1.0230,1.0234
-33.1962,-98.8298,1.0225,1.0224
-33.2882,-98.8968,1.0225,1.0221
-33.3813,-98.9623,1.0229,1.0224
-33.4755,-99.0262,1.0222,1.0235
-33.5709,-99.0882,1.0219,1.0227
-33.6675,-99.1484,1.0215,1.0218
-33.7651,-99.2069,1.0217,1.0216
-33.8637,-99.2637,1.0225,1.0221
-33.9633,-99.3188,1.0233,1.0232
-34.0639,-99.3721,1.0227,1.0239
-34.1655,-99.4235,1.0227,1.0233
-34.2681,-99.4727,1.0228,1.0230
-34.3715,-99.5201,1.0235,1.0232
-34.4758,-99.5657,1.0247,1.0239
-34.5809,-99.6094,1.0244,1.0252
-34.6868,-99.6512,1.0240,1.0248
-34.7934,-99.6911,1.0241,1.0243
-34.9007,-99.7290,1.0241,1.0240
-35.0088,-99.7647,1.0247,1.0241
-35.1174,-99.7986,1.0252,1.0246
-35.2267,-99.8305,1.0241,1.0254
-35.3365,-99.8605,1.0236,1.0242
-35.4467,-99.8886,1.0236,1.0234
-35.5575,-99.9148,1.0234,1.0231
-35.6688,-99.9387,1.0236,1.0229
-35.7805,-99.9606,1.0228,1.0231
-35.8925,-99.9805,1.0217,1.0230
-36.0049,-99.9985,1.0210,1.0215
-36.1176,-100.0145,1.0210,1.0205
-36.2305,-100.0286,1.0209,1.0200
-36.3437,-100.0405,1.0197,1.0200
-36.4571,-100.0501,1.0190,1.0202
-36.5707,-100.0576,1.0181,1.0192
-36.6844,-100.0631,1.0177,1.0178
-36.7981,-100.0666,1.0180,1.0169
-36.9119,-100.0680,1.0171,1.0168
-37.0258,-100.0673,1.0160,1.0173
-37.1395,-100.0640,1.0155,1.0172
-37.2532,-100.0587,1.0151,1.0156
-37.3668,-100.0512,1.0154,1.0147
-37.4802,-100.0416,1.0154,1.0145
-37.5934,-100.0299,1.0142,1.0151
-37.7063,-100.0158,1.0140,1.0161
